state,depth,minimax_move,minimax_value,minimax_nodes,minimax_time_seconds,alphabeta_move,alphabeta_value,alphabeta_nodes,alphabeta_time_seconds,node_reduction_percent,same_move
Dau van,1,"(7,7)",0,2,0.000704,"(7,7)",0,2,0.000440,0.00,True
Giua van,1,"(6,6)",100000,23,0.009721,"(6,6)",100000,23,0.009112,0.00,True
AI co the thang ngay,1,"(7,9)",10000000,21,0.009079,"(7,9)",10000000,21,0.009480,0.00,True
Nguoi sap thang can chan,1,"(7,9)",2000,21,0.008733,"(7,9)",2000,21,0.009219,0.00,True
Hai ben cung tan cong,1,"(10,7)",10000000,19,0.009029,"(10,7)",10000000,19,0.008088,0.00,True
Dau van,2,"(7,7)",0,10,0.004569,"(7,7)",0,10,0.004261,0.00,True
Giua van,2,"(6,6)",0,551,0.295288,"(6,6)",0,72,0.036688,86.93,True
AI co the thang ngay,2,"(7,9)",10000001,443,0.198264,"(7,9)",10000001,40,0.016880,90.97,True
Nguoi sap thang can chan,2,"(7,9)",-1000,463,0.194149,"(7,9)",-1000,60,0.027618,87.04,True
Hai ben cung tan cong,2,"(10,7)",10000001,363,0.133599,"(10,7)",10000001,36,0.014698,90.08,True
Dau van,3,"(7,7)",1000,98,0.039452,"(7,7)",1000,28,0.011692,71.43,True
Giua van,3,"(6,6)",10000000,14263,5.799513,"(6,6)",10000000,654,0.260702,95.41,True
AI co the thang ngay,3,"(7,9)",10000002,10675,4.347338,"(7,9)",10000002,459,0.190813,95.70,True
Nguoi sap thang can chan,3,"(7,9)",100000,10718,4.296740,"(7,9)",100000,113,0.044616,98.95,True
Hai ben cung tan cong,3,"(10,7)",10000002,7707,3.074819,"(10,7)",10000002,415,0.170060,94.62,True
